# Matter power spectrum P(k) at redshift z=0
# for k=1.04299e-05 to 1.0606 h/Mpc,
# number of wavenumbers equal to 562
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       5.032518802637e-01       2.830322136765e+02 
       5.065255610559e-01       2.791709936787e+02 
       5.097992420149e-01       2.754065837172e+02 
       5.130729231374e-01       2.717294125062e+02 
       5.163466044204e-01       2.681310116897e+02 
       5.196202858608e-01       2.646049365150e+02 
       5.228939674557e-01       2.611453216411e+02 
       5.261676492020e-01       2.577473067408e+02 
       5.294413310972e-01       2.544050131058e+02 
       5.327150131383e-01       2.511124924190e+02 
       5.359886953227e-01       2.478647172464e+02 
       5.392623776477e-01       2.446585568119e+02 
       5.425360601109e-01       2.414946258208e+02 
       5.458097427097e-01       2.383761504722e+02 
       5.490834254418e-01       2.353075955621e+02 
       5.523571083046e-01       2.322919603823e+02 
       5.556307912960e-01       2.293327129809e+02 
       5.589044744136e-01       2.264284309863e+02 
       5.621781576552e-01       2.235793243189e+02 
       5.654518410187e-01       2.207819841899e+02 
       5.687255245019e-01       2.180368252880e+02 
       5.719992081029e-01       2.153446132749e+02 
       5.752728918195e-01       2.127059720305e+02 
       5.785465756498e-01       2.101203399159e+02 
       5.818202595919e-01       2.075853977593e+02 
       5.850939436439e-01       2.050971675101e+02 
       5.883676278040e-01       2.026513368764e+02 
       5.916413120704e-01       2.002444777137e+02 
       5.949149964412e-01       1.978744391539e+02 
       5.981886809149e-01       1.955408250267e+02 
       6.014623654896e-01       1.932438881234e+02 
       6.047360501638e-01       1.909832962642e+02 
       6.080097349359e-01       1.887579189699e+02 
       6.112834198042e-01       1.865656692994e+02 
       6.145571047672e-01       1.844048395503e+02 
       6.178307898235e-01       1.822744802981e+02 
       6.211044749715e-01       1.801749273471e+02 
       6.243781602098e-01       1.781079253627e+02 
       6.276518455370e-01       1.760752094272e+02 
       6.625135466939e-01       1.564095822283e+02 
       7.037436231089e-01       1.368896991166e+02 
       7.545119035962e-01       1.172544316688e+02 
       8.207344687396e-01       9.709392493227e+01 
       9.144407916117e-01       7.599450541443e+01 
       1.060599582886e+00       5.407804939852e+01 
